Domain,Pagespeed,Yslow,Onload,Full_load,Requests,Total_size
facebook.com/,87,90,4.8s,5.2s,60,1.18
yahoo.com/,36,46,10.5s,15.8s,500,2.22
live.com/,60,90,1.9s,2.9s,58,2.51
wikipedia.org/,98,87,2.0s,2.2s,8,62.6
msn.com/,39,55,6.0s,12.1s,430,2.11
microsoft.com/,62,78,3.1s,8.5s,147,1.25
blogspot.com/,81,84,1.3s,1.3s,61,1.74
baidu.com/,85,77,6.4s,8.1s,51,429
qq.com/,60,62,7.8s,8.6s,130,1.6
mozilla.com/,80,94,1.0s,1.5s,50,689
sina.com.cn/,29,38,33.4s,41.4s,451,8.13
wordpress.com/,79,73,4.2s,9.7s,100,9.43
bing.com/,24,96,0.7s,4.0s,116,4.05
adobe.com/,57,69,4.7s,8.1s,132,1.36
163.com/,63,49,25.3s,31.0s,335,4.1
taobao.com/,74,68,7.3s,16.2s,136,1.93
soso.com/,99,93,1.6s,2.2s,8,27.3
twitter.com/,89,93,2.8s,6.2s,52,1.14
youku.com/,4,64,14.7s,15.8s,276,13.9
ask.com/,49,63,2.7s,6.6s,191,2.47
sohu.com/,0,51,21.6s,36.7s,461,13.5
amazon.com/,47,73,1.1s,3.2s,378,3.61
windows.com/,39,61,6.6s,9.7s,231,5.54
ebay.com/,68,71,2.5s,7.6s,154,1.72
yahoo.co.jp/,55,66,7.1s,9.5s,133,1.16
apple.com/,74,81,2.4s,2.5s,59,1.73
tudou.com/,23,71,7.4s,9.4s,138,4.74
conduit.com/,68,59,2.1s,2.3s,64,747
hotmail.com/,60,90,1.9s,2.8s,58,2.51
flickr.com/,95,78,4.4s,4.8s,101,10.8
photobucket.com/,33,56,2.3s,16.9s,435,4.95
tianya.cn/,81,74,8.9s,16.2s,39,349
about.com/,50,68,2.8s,17.8s,96,18.6
cnet.com/,55,82,1.4s,18.3s,353,3.54
hao123.com/,54,63,9.0s,13.4s,149,2.98
iefxz.com/,84,75,5.2s,6.3s,33,717
xunlei.com/,84,75,9.1s,9.3s,36,1.46
paypal.com/,88,85,1.8s,3.9s,43,2.77
go.com/,49,74,3.1s,4.4s,90,2.38
fc2.com/,84,73,2.3s,2.3s,45,533
bbc.co.uk/,62,54,8.8s,10.7s,224,2.61
imdb.com/,51,56,5.5s,8.9s,197,1.83
orkut.com/,91,86,400ms,0.6s,16,1.01
sogou.com/,93,81,5.0s,5.4s,29,247
56.com/,0,42,10.5s,10.5s,455,16.2
aol.com/,28,51,9.0s,22.3s,636,11.8
craigslist.org/,84,89,1.2s,1.2s,12,158
rakuten.co.jp/,28,49,8.9s,20.2s,774,5.3
imageshack.us/,88,82,1.2s,1.3s,22,952
ku6.com/,0,66,8.1s,13.9s,134,28.5
blogger.com/,81,84,1.3s,1.4s,61,1.74
goo.ne.jp/,40,41,11.7s,12.5s,304,3.7
ifeng.com/,57,44,19.1s,19.9s,285,2.73
linkedin.com/,96,96,1.9s,3.2s,53,177
yandex.ru/,76,72,5.8s,11.7s,118,1.81
mail.ru/,43,45,13.0s,16.0s,440,2.61
partypoker.com/,53,62,8.8s,12.2s,259,3.74
answers.com/,90,82,1.8s,2.5s,34,3.09
alibaba.com/,12,63,7.8s,12.8s,449,10
hi5.com/,88,68,1.6s,1.9s,47,719
cnn.com/,37,51,9.1s,15.4s,433,6.08
amazon.co.jp/,54,70,3.3s,17.2s,326,3.88
4shared.com/,70,66,2.9s,3.2s,133,1.08
skype.com/,63,87,1.5s,1.8s,44,1.55
renren.com/,85,71,8.6s,8.7s,45,1.18
dailymotion.com/,57,60,11.0s,17.9s,238,4.71
naver.com/,40,67,3.7s,4.8s,115,2.38
weather.com/,34,77,1.5s,15.7s,568,3.04
mozilla.org/,80,92,1.1s,1.6s,46,814
mediafire.com/,72,79,4.9s,7.2s,90,1.04
bit.ly/,66,66,3.8s,6.9s,127,1.19
hp.com/,28,47,4.0s,7.5s,218,4.23
livedoor.jp/,73,69,4.9s,7.4s,72,1.05
ehow.com/,80,63,3.8s,4.7s,76,1.47
nifty.com/,44,49,8.7s,11.0s,459,1.82
vkontakte.ru/,75,71,5.6s,6.4s,53,1.06
alipay.com/,91,87,5.0s,5.0s,21,817
nytimes.com/,43,59,11.8s,13.7s,258,10
sourceforge.net/,51,57,2.7s,5.7s,217,1.06
fbcdn.net/,23,85,3.9s,4.4s,61,1.81
xtendmedia.com/,51,89,2.7s,3.3s,55,1.68
xinhuanet.com/,23,46,14.3s,27.2s,324,7.85
wikimedia.org/,92,81,0.6s,0.7s,22,195
pconline.com.cn/,66,69,9.8s,12.8s,73,966
daum.net/,50,74,3.9s,8.3s,114,1.6
4399.com/,76,63,6.3s,7.2s,83,843
bankofamerica.com/,83,92,2.2s,9.1s,130,1.37
ebay.de/,75,72,1.4s,5.1s,132,1.38
uol.com.br/,60,67,5.3s,14.5s,195,3.2
zol.com.cn/,71,58,45.0s,47.8s,154,1.14
mop.com/,0,50,9.3s,10.2s,145,8.88
alexa.com/,63,70,1.6s,2.5s,66,1.72
biglobe.ne.jp/,51,54,8.9s,9.9s,215,1.29
scribd.com/,77,76,2.0s,2.4s,102,1.45
softonic.com/,29,59,6.1s,12.4s,592,4.57
mapquest.com/,41,66,2.8s,12.0s,328,2.92
dell.com/,54,44,4.5s,7.8s,228,1.23
people.com.cn/,17,57,10.3s,10.3s,237,8.58
kaixin001.com/,79,48,10.9s,15.0s,91,821
geocities.jp/,88,76,3.8s,4.1s,16,78
ebay.co.uk/,76,77,1.4s,3.7s,139,1.76
hatena.ne.jp/,41,59,4.8s,7.0s,300,4.16
seesaa.net/,72,56,5.1s,5.9s,71,492
badoo.com/,96,88,2.3s,2.9s,26,1.08
126.com/,85,69,6.1s,7.4s,67,1.38
paipai.com/,37,66,8.0s,9.1s,30,3.86
avg.com/,60,57,3.6s,4.7s,146,1.39
odnoklassniki.ru/,64,62,6.3s,12.7s,276,2.45
free.fr/,56,76,7.9s,8.6s,65,2.54
infoseek.co.jp/,29,40,12.0s,12.5s,395,2.26
zynga.com/,65,84,2.0s,2.3s,100,8.27
depositfiles.com/,66,71,5.9s,6.1s,18,744
metacafe.com/,89,64,3.9s,5.9s,106,1.3
chase.com/,69,63,3.3s,8.0s,127,2.2
thepiratebay.org/,85,95,1.8s,1.8s,13,69.7
kakaku.com/,53,44,10.4s,11.1s,204,2.14
cctv.com/,27,48,8.6s,11.4s,209,9.7
optmd.com/,88,77,0.7s,1.0s,9,26.7
hotfile.com/,80,69,4.9s,5.6s,128,12.7
com.com/,68,75,2.1s,2.5s,34,1.02
ning.com/,68,61,3.8s,5.3s,142,1.9
ocn.ne.jp/,54,46,9.5s,10.4s,187,1.88
vk.com/,74,71,5.0s,6.0s,53,1.06
game2.com.cn/,21,57,12.7s,15.4s,135,3.95
youdao.com/,62,88,3.0s,3.1s,41,2.81
getpersonas.com/,84,95,2.1s,2.2s,30,1.46
tripadvisor.com/,85,84,1.7s,3.6s,213,587
nate.com/,74,71,6.6s,11.5s,90,683
livejournal.com/,46,63,5.6s,10.9s,186,2.41
soufun.com/,27,50,16.4s,18.2s,301,4.18
zedo.com/,75,68,2.4s,3.8s,104,1.55
thefreedictionary.com/,21,56,8.8s,21.9s,867,2.8
2ch.net/,41,58,4.6s,10.3s,238,1.16
tinypic.com/,84,93,0.8s,0.9s,10,200
java.com/,93,76,1.1s,3.3s,41,261
narod.ru/,81,66,7.2s,7.4s,74,1.33
xici.net/,0,68,14.1s,14.4s,86,10.6
walmart.com/,49,54,4.8s,24.3s,221,2.19
114la.com/,53,58,11.9s,12.0s,132,1.61
joy.cn/,20,73,12.6s,13.9s,71,4.06
addthis.com/,90,92,6.1s,9.9s,64,712
globo.com/,73,55,7.7s,11.8s,159,1.55
360.cn/,40,85,6.3s,7.5s,164,3.7
cocolog-nifty.com/,89,78,1.8s,2.0s,20,667
netflix.com/,81,81,1.8s,1.9s,28,2.08
target.com/,77,67,4.2s,4.4s,82,1.84
58.com/,77,75,6.4s,6.7s,59,1.08
